time,roll,pitch,yaw
1.9565138298595853149890899658203125000000000000,-14.8946,10.5463,-7.52802
1.9565169066370673477649688720703125000000000000,-16.5544,12.5265,-3.84539
1.9565190110323723405599594116210937500000000000,-18.0668,14.4839,0.139107
1.9565201334856074303388595581054687500000000000,-19.371,16.4632,4.22616
1.9565221688443757593631744384765625000000000000,-20.6241,18.5154,8.16439
1.9565242892476879060268402099609375000000000000,-21.9579,20.6276,11.84
1.9565264810935489833354949951171875000000000000,-23.3359,22.6068,15.2216
1.9565285058658599853515625000000000000000000000,-24.7406,24.4385,18.3068
1.9565305495333939790725708007812500000000000000,-26.0698,26.0706,21.1405
1.9565326754865761846303939819335937500000000000,-27.2341,27.4768,23.7555
1.9565347192824307829141616821289062500000000000,-28.1726,28.7529,26.2501
1.9565367292016208171844482421875000000000000000,-28.8282,29.9922,28.8533
1.9565387852200221270322799682617187500000000000,-29.3541,31.1371,31.6252
1.9565398707168959081172943115234375000000000000,-29.8647,32.1874,34.5655
1.9565419787693403661251068115234375000000000000,-30.4002,33.2477,37.6656
1.9565440970232807099819183349609375000000000000,-30.8246,34.411,40.9651
1.9565461505073480308055877685546875000000000000,-31.1709,35.6892,44.4508
1.9565482754339646548032760620117187500000000000,-31.4414,37.17,48.1298
1.9565503909610901027917861938476562500000000000,-31.6772,38.7992,51.8923
1.9565524990776948630809783935546875000000000000,-31.818,40.5866,55.67
1.9565545166640467941761016845703125000000000000,-31.7651,42.4251,59.3109
1.9565565507716886699199676513671875000000000000,-31.3982,44.2656,62.7997
1.9565585713735770434141159057617187500000000000,-30.6541,45.9507,66.1048
1.9565607626740749925374984741210937500000000000,-29.6612,47.3771,69.2827
1.9565627761541645973920822143554687500000000000,-28.5126,48.4937,72.3678
1.9565649490085624158382415771484375000000000000,-27.2061,49.4109,75.4161
1.9565660492302361875772476196289062500000000000,-25.7369,50.1196,78.4527
1.9565680851664479821920394897460937500000000000,-24.1086,50.5434,81.4477
1.9565701696078840643167495727539062500000000000,-22.5123,50.6666,84.2777
1.9565722181516043841838836669921875000000000000,-21.0274,50.5504,86.8383
1.9565742492116298526525497436523437500000000000,-19.6615,50.2758,89.1707
1.9565763533823732286691665649414062500000000000,-18.2476,49.8017,91.3995
1.9565783708404045552015304565429687500000000000,-16.7114,49.1232,93.6827
1.9565804784116465598344802856445312500000000000,-15.0453,48.184,96.0517
1.9565825246135141700506210327148437500000000000,-13.3384,47.0427,98.4903
1.9565845404996167868375778198242187500000000000,-11.7845,45.7209,101.037
1.9565866636939037591218948364257812500000000000,-10.4591,44.3057,103.591
1.9565886814727365970611572265625000000000000000,-9.28575,42.8857,106.038
1.9565907136555679142475128173828125000000000000,-8.23937,41.5138,108.326
1.9565926795928385108709335327148437500000000000,-7.3561,40.2524,110.439
1.9565947735941667109727859497070312500000000000,-6.76885,39.1771,112.203
1.9565958124143861234188079833984375000000000000,-6.49723,38.2176,113.508
1.9565988642334923148155212402343750000000000000,-6.49349,37.3787,114.399
1.9566008793496709316968917846679687500000000000,-6.59584,36.6195,115.017
1.9566019810791131108999252319335937500000000000,-6.64929,35.9076,115.599
1.9566040377391178160905838012695312500000000000,-6.52625,35.1503,116.297
1.9566062193193230777978897094726562500000000000,-6.24585,34.336,117.214
1.9566083488334044814109802246093750000000000000,-5.89081,33.4307,118.357
1.9566104568216890096664428710937500000000000000,-5.48974,32.4397,119.646
1.9566124569564256817102432250976562500000000000,-5.10945,31.3918,120.925
1.9566145626670174300670623779296875000000000000,-4.82508,30.3455,122.112
1.9566166001109976321458816528320312500000000000,-4.66342,29.2478,123.036
1.9566187145794771611690521240234375000000000000,-4.71647,28.1207,123.614
1.9566207128856439143419265747070312500000000000,-4.95613,27.0209,123.829
1.9566227324930466711521148681640625000000000000,-5.37684,25.9787,123.664
1.9566247573936782777309417724609375000000000000,-5.92586,25.0185,123.249
1.9566266912828542292118072509765625000000000000,-6.52714,24.1221,122.793
1.9566287121734641492366790771484375000000000000,-7.14704,23.2436,122.375
1.9566307863492440432310104370117187500000000000,-7.80596,22.3793,121.978
1.9566328340267997235059738159179687500000000000,-8.53089,21.5319,121.366
1.9566338471828795969486236572265625000000000000,-9.44766,20.7123,120.183
1.9566369060917045921087265014648437500000000000,-10.5868,19.8997,118.125
1.9566379041059415787458419799804687500000000000,-11.8095,19.0704,115.33
1.9566400197934679687023162841796875000000000000,-13.0063,18.1568,112.206
1.9566421247020553797483444213867187500000000000,-14.1867,17.1819,108.922
1.9566441429620910435914993286132812500000000000,-15.3821,16.1745,105.388
1.9566460706597931683063507080078125000000000000,-16.5519,15.1942,101.434
1.9566481060185614973306655883789062500000000000,-17.588,14.4138,97.2083
1.9566502401201084256172180175781250000000000000,-18.3669,13.8604,93.1674
1.9566523808622509241104125976562500000000000000,-19.0143,13.5613,89.3482
1.9566543775323290377855300903320312500000000000,-19.6304,13.3146,85.4151
1.9566565129170823842287063598632812500000000000,-20.1918,13.1177,81.2302
1.9566586457675021141767501831054687500000000000,-20.6023,13.0022,76.9855
1.9566606668185129761695861816406250000000000000,-20.8877,12.9918,72.7801
1.9566627728178262710571289062500000000000000000,-21.1911,13.0382,68.5742
1.9566648569384608417749404907226562500000000000,-21.5666,13.1678,64.1728
1.9566668945749215781688690185546875000000000000,-21.982,13.4412,59.6478
1.9566679072497986257076263427734375000000000000,-22.3927,13.8806,54.9699
1.9566699332732364535331726074218750000000000000,-22.8486,14.4441,50.1693
1.9566719573397837579250335693359375000000000000,-23.4094,15.0382,45.1549
1.9566740820418391376733779907226562500000000000,-24.0444,15.698,40.017
1.9566761097655259072780609130859375000000000000,-24.6737,16.4879,34.8638
1.9566782406911354511976242065429687500000000000,-25.371,17.3224,29.6851
1.9566803300408381968736648559570312500000000000,-26.2217,18.0291,24.359
1.9566823524712964892387390136718750000000000000,-27.2652,18.6974,18.9631
1.9566843577388610690832138061523437500000000000,-28.3813,19.1951,13.6362
1.9566864087206747382879257202148437500000000000,-29.5475,19.5086,8.43577
1.9566885102287638932466506958007812500000000000,-30.6268,19.6975,3.47999
1.9566905388506956398487091064453125000000000000,-31.5383,19.8505,-1.1672
1.9566926548911038786172866821289062500000000000,-32.3455,20.0285,-5.41911
1.9566946875551380217075347900390625000000000000,-33.1127,20.1945,-9.23891
1.9566967285600174218416213989257812500000000000,-33.9394,20.3264,-12.786
